source_intersection_name,canonical_intersection_name,month,east_veh,west_veh,south_veh,north_veh,total_veh,row_sum_check,usage_class
성금사거리,성금교차로,2022-05,382416,258085,488903,474301,1603705,PASS,historical_monthly_observation
성금사거리,성금교차로,2022-06,363496,250369,484344,457493,1555702,PASS,historical_monthly_observation
성금사거리,성금교차로,2022-07,341082,240091,272190,427492,1280855,PASS,historical_monthly_observation
성금사거리,성금교차로,2022-08,361532,254064,486763,451984,1554343,PASS,historical_monthly_observation
성금사거리,성금교차로,2022-09,333548,235501,445548,414597,1429194,PASS,historical_monthly_observation
성금사거리,성금교차로,2022-10,259880,249346,451484,445769,1406479,PASS,historical_monthly_observation
성금사거리,성금교차로,2022-11,264777,255154,489010,450043,1458984,PASS,historical_monthly_observation
성금사거리,성금교차로,2022-12,250614,259172,494615,451536,1455937,PASS,historical_monthly_observation
성금사거리,성금교차로,2023-01,245521,244890,478224,430967,1399602,PASS,historical_monthly_observation
성금사거리,성금교차로,2023-02,237018,233906,456175,409385,1336484,PASS,historical_monthly_observation
성금사거리,성금교차로,2023-03,267150,269881,299758,450457,1287246,PASS,historical_monthly_observation
세종교차로,세종교차로,2022-05,329894,234160,414936,303174,1282164,PASS,historical_monthly_observation
세종교차로,세종교차로,2022-06,281120,204337,369457,296202,1151116,PASS,historical_monthly_observation
세종교차로,세종교차로,2022-07,298647,199927,390630,314533,1203737,PASS,historical_monthly_observation
세종교차로,세종교차로,2022-08,300999,856,390606,315503,1007964,PASS,historical_monthly_observation
세종교차로,세종교차로,2022-09,310440,176888,340462,312285,1140075,PASS,historical_monthly_observation
세종교차로,세종교차로,2022-10,321275,228875,403456,326178,1279784,PASS,historical_monthly_observation
세종교차로,세종교차로,2022-11,286601,205305,393883,314885,1200674,PASS,historical_monthly_observation
세종교차로,세종교차로,2022-12,148917,182307,381156,307992,1020372,PASS,historical_monthly_observation
세종교차로,세종교차로,2023-01,151192,179827,377190,306592,1014801,PASS,historical_monthly_observation
세종교차로,세종교차로,2023-02,150961,177564,373898,302251,1004674,PASS,historical_monthly_observation
세종교차로,세종교차로,2023-03,175458,202143,423558,340365,1141524,PASS,historical_monthly_observation
청사교차로,청사교차로,2022-05,126562,115216,187916,224827,654521,PASS,historical_monthly_observation
청사교차로,청사교차로,2022-06,115428,105575,172559,205363,598925,PASS,historical_monthly_observation
청사교차로,청사교차로,2022-07,117585,118451,182178,217537,635751,PASS,historical_monthly_observation
청사교차로,청사교차로,2022-08,116872,115939,179412,218887,631110,PASS,historical_monthly_observation
청사교차로,청사교차로,2022-09,122604,110096,173120,215602,621422,PASS,historical_monthly_observation
청사교차로,청사교차로,2022-10,124140,114148,185399,225280,648967,PASS,historical_monthly_observation
청사교차로,청사교차로,2022-11,120762,109469,177303,221369,628903,PASS,historical_monthly_observation
청사교차로,청사교차로,2022-12,114015,111060,174371,216035,615481,PASS,historical_monthly_observation
청사교차로,청사교차로,2023-01,107114,104885,165388,207903,585290,PASS,historical_monthly_observation
청사교차로,청사교차로,2023-02,108046,103492,165181,201270,577989,PASS,historical_monthly_observation
청사교차로,청사교차로,2023-03,126225,113265,189608,227821,656919,PASS,historical_monthly_observation
