timestamp_kst,station_id,source_class,source_system,temperature_c,humidity_pct,precip_hour_mm,precip_day_mm,precip_day_message_mm,precip_intensity_mm_h,ir_code,ix_code
2022-08-10T00:00:00+09:00,239,observed,KMA_ASOS_HOURLY,27.5,78.0,,6.6,6.6,,3,-9
2022-08-10T01:00:00+09:00,239,observed,KMA_ASOS_HOURLY,27.0,81.0,,,,,3,-9
2022-08-10T02:00:00+09:00,239,observed,KMA_ASOS_HOURLY,26.4,85.0,0.1,0.1,0.1,,1,-9
2022-08-10T03:00:00+09:00,239,observed,KMA_ASOS_HOURLY,25.6,91.0,4.0,4.1,4.1,,1,-9
2022-08-10T04:00:00+09:00,239,observed,KMA_ASOS_HOURLY,25.2,95.0,18.1,22.2,22.2,,1,-9
2022-08-10T05:00:00+09:00,239,observed,KMA_ASOS_HOURLY,24.7,94.0,9.4,31.6,31.6,,1,-9
2022-08-10T06:00:00+09:00,239,observed,KMA_ASOS_HOURLY,24.6,96.0,21.6,53.2,53.2,,1,-9
2022-08-10T07:00:00+09:00,239,observed,KMA_ASOS_HOURLY,23.3,96.0,5.0,58.2,58.2,,1,-9
2022-08-10T08:00:00+09:00,239,observed,KMA_ASOS_HOURLY,23.1,96.0,2.7,60.9,60.9,,1,-9
2022-08-10T09:00:00+09:00,239,observed,KMA_ASOS_HOURLY,23.3,97.0,0.9,61.8,61.8,,1,-9
2022-08-10T10:00:00+09:00,239,observed,KMA_ASOS_HOURLY,23.2,96.0,0.8,62.6,62.6,,1,-9
2022-08-10T11:00:00+09:00,239,observed,KMA_ASOS_HOURLY,23.4,95.0,1.9,64.5,64.5,,1,-9
2022-08-10T12:00:00+09:00,239,observed,KMA_ASOS_HOURLY,23.5,96.0,4.7,69.2,69.2,,1,-9
2022-08-10T13:00:00+09:00,239,observed,KMA_ASOS_HOURLY,24.2,96.0,3.1,72.3,72.3,,1,-9
2022-08-10T14:00:00+09:00,239,observed,KMA_ASOS_HOURLY,24.3,96.0,1.2,73.5,73.5,,1,-9
2022-08-10T15:00:00+09:00,239,observed,KMA_ASOS_HOURLY,24.7,96.0,0.3,73.8,73.8,,1,-9
2022-08-10T16:00:00+09:00,239,observed,KMA_ASOS_HOURLY,25.1,96.0,1.0,74.8,74.8,,1,-9
2022-08-10T17:00:00+09:00,239,observed,KMA_ASOS_HOURLY,26.1,96.0,0.0,74.8,74.8,,1,-9
2022-08-10T18:00:00+09:00,239,observed,KMA_ASOS_HOURLY,26.1,96.0,5.8,80.6,80.6,,1,-9
2022-08-10T19:00:00+09:00,239,observed,KMA_ASOS_HOURLY,25.5,96.0,9.5,90.1,90.1,,1,-9
2022-08-10T20:00:00+09:00,239,observed,KMA_ASOS_HOURLY,25.1,96.0,15.6,105.7,105.7,,1,-9
2022-08-10T21:00:00+09:00,239,observed,KMA_ASOS_HOURLY,24.7,97.0,29.2,134.9,134.9,,1,-9
2022-08-10T22:00:00+09:00,239,observed,KMA_ASOS_HOURLY,25.4,96.0,4.4,139.3,139.3,,1,-9
2022-08-10T23:00:00+09:00,239,observed,KMA_ASOS_HOURLY,25.1,94.0,,139.3,139.3,,3,-9
