date_kst,weekday,same_weekday_as_rain,same_month_as_rain,distance_days,daily_precipitation_mm,preceding_6h_precipitation_mm,proxy_dry_pass,final_status
2022-07-27,Wednesday,True,False,14,0.0,0.0,True,SCREEN_ONLY_KMA_CONFIRMATION_REQUIRED
2022-09-07,Wednesday,True,False,28,0.0,0.0,True,SCREEN_ONLY_KMA_CONFIRMATION_REQUIRED
2022-08-27,Saturday,False,True,17,0.0,0.0,True,SCREEN_ONLY_KMA_CONFIRMATION_REQUIRED
2022-08-28,Sunday,False,True,18,0.0,0.0,True,SCREEN_ONLY_KMA_CONFIRMATION_REQUIRED
2022-07-28,Thursday,False,False,13,0.0,0.0,True,SCREEN_ONLY_KMA_CONFIRMATION_REQUIRED
2022-09-01,Thursday,False,False,22,0.0,0.0,True,SCREEN_ONLY_KMA_CONFIRMATION_REQUIRED
2022-09-02,Friday,False,False,23,0.0,0.0,True,SCREEN_ONLY_KMA_CONFIRMATION_REQUIRED
2022-09-03,Saturday,False,False,24,0.0,0.0,True,SCREEN_ONLY_KMA_CONFIRMATION_REQUIRED
2022-08-03,Wednesday,True,True,7,3.6,0.1,False,SCREEN_ONLY_KMA_CONFIRMATION_REQUIRED
2022-08-17,Wednesday,True,True,7,2.7,0.0,False,SCREEN_ONLY_KMA_CONFIRMATION_REQUIRED
2022-08-24,Wednesday,True,True,14,1.4,0.1,False,SCREEN_ONLY_KMA_CONFIRMATION_REQUIRED
2022-08-31,Wednesday,True,True,21,10.0,10.5,False,SCREEN_ONLY_KMA_CONFIRMATION_REQUIRED
2022-07-20,Wednesday,True,False,21,4.4,0.0,False,SCREEN_ONLY_KMA_CONFIRMATION_REQUIRED
2022-07-13,Wednesday,True,False,28,38.4,0.4,False,SCREEN_ONLY_KMA_CONFIRMATION_REQUIRED
2022-08-09,Tuesday,False,True,1,6.5,1.3,False,SCREEN_ONLY_KMA_CONFIRMATION_REQUIRED
