"구분","구분","링크","링크","링크","링크","링크","링크","링크","링크"
"광역시도","시군구","전체","고속도로","도시고속도로","일반국도","특별광역시도","국가지원지방도","지방도","시군도"
"합계","합계","1,555,158","28,341","3,028","141,467","253,571","41,718","140,144","946,889"
"서울특별시","종로구","1,944","0","10","217","1,717","0","0","0"
"서울특별시","중구","1,696","0","0","14","1,682","0","0","0"
"서울특별시","용산구","1,977","0","82","0","1,864","0","0","31"
"서울특별시","성동구","1,753","0","80","9","1,640","0","0","24"
"서울특별시","광진구","1,595","0","102","271","1,143","0","0","79"
"서울특별시","동대문구","2,182","0","33","128","1,976","0","0","45"
"서울특별시","중랑구","2,382","21","56","276","1,939","0","0","90"
"서울특별시","성북구","2,693","0","43","0","2,616","0","0","34"
"서울특별시","강북구","1,689","0","0","0","1,669","0","0","20"
"서울특별시","도봉구","1,919","0","6","40","1,848","0","0","25"
"서울특별시","노원구","3,213","14","89","195","2,836","0","0","79"
"서울특별시","은평구","2,621","0","0","198","2,332","0","16","75"
"서울특별시","서대문구","1,869","0","24","176","1,666","0","0","3"
"서울특별시","마포구","3,059","0","155","241","2,570","0","0","93"
"서울특별시","양천구","2,465","15","37","21","2,305","0","0","87"
"서울특별시","강서구","4,189","31","97","259","3,784","10","0","8"
"서울특별시","구로구","3,110","0","0","206","2,761","0","112","31"
"서울특별시","금천구","1,492","9","16","107","1,341","0","0","19"
"서울특별시","영등포구","3,796","0","119","199","3,462","0","0","16"
"서울특별시","동작구","1,727","0","40","0","1,639","0","0","48"
"서울특별시","관악구","1,916","0","25","0","1,869","0","0","22"
"서울특별시","서초구","3,027","120","76","67","2,724","0","25","15"
"서울특별시","강남구","4,712","2","105","137","4,257","112","0","99"
"서울특별시","송파구","3,644","36","88","135","3,075","0","9","301"
"서울특별시","강동구","2,631","79","88","110","2,241","0","0","113"
"서울특별시","여유분","0","0","0","0","0","0","0","0"
"서울특별시","여유분","0","0","0","0","0","0","0","0"
"서울특별시","여유분","0","0","0","0","0","0","0","0"
"서울특별시","여유분","0","0","0","0","0","0","0","0"
"서울특별시","여유분","0","0","0","0","0","0","0","0"
"부산광역시","중구","505","0","0","50","429","0","0","26"
"부산광역시","서구","876","0","0","81","752","0","0","43"
"부산광역시","동구","951","0","14","55","823","0","0","59"
"부산광역시","영도구","1,078","0","0","0","957","0","0","121"
"부산광역시","부산진구","2,397","0","39","79","2,107","0","0","172"
"부산광역시","동래구","1,926","0","41","200","1,595","35","0","55"
"부산광역시","남구","1,817","0","52","0","1,712","0","0","53"
"부산광역시","북구","1,923","32","7","211","1,189","0","0","484"
"부산광역시","해운대구","3,660","22","47","50","3,154","164","0","223"
"부산광역시","사하구","2,759","0","0","163","2,167","0","0","429"
"부산광역시","금정구","2,662","96","48","210","2,126","0","26","156"
"부산광역시","강서구","9,657","112","0","273","7,447","336","21","1,468"
"부산광역시","연제구","1,500","0","5","56","1,402","0","0","37"
"부산광역시","수영구","1,139","0","34","0","1,053","49","0","3"
"부산광역시","사상구","2,187","22","22","0","2,005","0","0","138"
"부산광역시","기장군","7,828","180","48","448","5,860","230","0","1,062"
"부산광역시","여유분","0","0","0","0","0","0","0","0"
"부산광역시","여유분","0","0","0","0","0","0","0","0"
"부산광역시","여유분","0","0","0","0","0","0","0","0"
"부산광역시","여유분","0","0","0","0","0","0","0","0"
"대구광역시","중구","1,263","0","43","0","1,194","0","0","26"
"대구광역시","동구","6,646","282","0","216","5,431","0","21","696"
"대구광역시","서구","1,448","27","33","97","1,274","0","0","17"
"대구광역시","남구","1,282","0","64","22","1,149","0","0","47"
"대구광역시","북구","7,810","200","80","352","6,577","0","0","601"
"대구광역시","수성구","5,136","28","36","163","4,206","69","0","634"
"대구광역시","달서구","6,989","67","2","210","6,664","0","0","46"
"대구광역시","달성군","9,861","236","3","497","8,465","144","0","516"
"대구광역시","여유분","0","0","0","0","0","0","0","0"
"대구광역시","여유분","0","0","0","0","0","0","0","0"
"대구광역시","여유분","0","0","0","0","0","0","0","0"
"인천광역시","미추홀구","2,601","25","0","276","2,249","0","0","51"
"인천광역시","연수구","5,012","38","0","58","4,563","0","0","353"
"인천광역시","남동구","5,566","77","0","246","3,860","0","4","1,379"
"인천광역시","부평구","3,215","43","0","92","2,757","0","93","230"
"인천광역시","계양구","2,456","80","0","147","1,863","0","213","153"
"인천광역시","강화군","3,408","0","0","118","2,686","175","336","93"
"인천광역시","옹진군","833","0","0","0","492","0","0","341"
"인천광역시","제물포구","2,005","19","0","241","1,665","8","0","72"
"인천광역시","영종구","6,570","145","0","0","4,916","0","0","1,509"
"인천광역시","서해구","6,484","132","0","86","5,468","173","0","625"
"인천광역시","검단구","3,890","26","0","0","3,028","119","84","633"
"전남광주통합특별시","동구","1,956","0","52","211","1,647","0","0","46"
"전남광주통합특별시","서구","8,078","0","51","189","6,982","0","0","856"
"전남광주통합특별시","남구","4,188","0","28","272","3,773","19","41","55"
"전남광주통합특별시","북구","9,121","103","45","300","8,526","0","0","147"
"전남광주통합특별시","광산구","14,248","126","44","576","12,479","131","112","780"
"전남광주통합특별시","여유분","0","0","0","0","0","0","0","0"
"전남광주통합특별시","여유분","0","0","0","0","0","0","0","0"
"전남광주통합특별시","여유분","0","0","0","0","0","0","0","0"
"대전광역시","동구","3,764","155","0","334","2,856","0","80","339"
"대전광역시","중구","2,902","56","0","205","2,402","0","109","130"
"대전광역시","서구","5,642","52","0","247","5,059","72","0","212"
"대전광역시","유성구","9,469","145","1","280","7,111","225","0","1,707"
"대전광역시","대덕구","3,594","99","66","194","3,044","103","4","84"
"대전광역시","여유분","0","0","0","0","0","0","0","0"
"대전광역시","여유분","0","0","0","0","0","0","0","0"
"대전광역시","여유분","0","0","0","0","0","0","0","0"
"대전광역시","여유분","0","0","0","0","0","0","0","0"
"울산광역시","중구","4,893","30","0","283","3,607","0","0","973"
"울산광역시","남구","7,477","4","0","242","6,449","0","0","782"
"울산광역시","동구","2,031","0","0","0","1,869","0","114","48"
"울산광역시","북구","7,593","4","0","279","6,131","0","194","985"
"울산광역시","울주군","16,759","553","0","1,316","11,904","306","149","2,531"
"경기도","수원시장안구","2,198","30","35","134","0","0","6","1,993"
"경기도","수원시권선구","4,895","24","0","159","0","125","34","4,553"
"경기도","수원시팔달구","1,646","0","0","213","0","0","0","1,433"
"경기도","수원시영통구","2,679","45","26","145","0","0","71","2,392"
"경기도","성남시수정구","2,571","110","50","44","0","73","54","2,240"
"경기도","성남시중원구","2,055","43","12","105","0","0","143","1,752"
"경기도","성남시분당구","5,996","102","155","0","0","291","77","5,371"
"경기도","의정부시","7,639","90","8","550","0","0","0","6,991"
"경기도","안양시만안구","2,276","72","2","67","0","0","132","2,003"
"경기도","안양시동안구","2,586","28","0","227","0","76","10","2,245"
"경기도","광명시","2,480","73","0","11","0","0","156","2,240"
"경기도","평택시","18,698","377","0","1,221","0","48","1,322","15,730"
"경기도","동두천시","3,546","0","0","250","0","0","346","2,950"
"경기도","안산시상록구","4,191","92","0","249","0","64","17","3,769"
"경기도","안산시단원구","8,196","100","0","276","0","11","194","7,615"
"경기도","고양시덕양구","7,753","243","30","736","0","54","562","6,128"
"경기도","고양시일산서구","3,061","0","2","70","0","145","203","2,641"
"경기도","과천시","1,133","10","57","136","0","0","27","903"
"경기도","구리시","2,329","118","81","335","0","0","0","1,795"
"경기도","남양주시","11,446","390","122","934","0","528","655","8,817"
"경기도","오산시","4,604","111","0","172","0","163","243","3,915"
"경기도","시흥시","12,828","276","2","627","0","0","296","11,627"
"경기도","군포시","3,395","114","0","152","0","0","0","3,129"
"경기도","의왕시","2,585","101","0","94","0","80","97","2,213"
"경기도","하남시","3,638","182","5","247","8","0","0","3,196"
"경기도","파주시","12,926","104","0","843","0","799","1,592","9,588"
"경기도","이천시","9,335","241","0","839","0","327","1,101","6,827"
"경기도","안성시","10,705","390","0","776","0","1,387","1,113","7,039"
"경기도","김포시","10,292","85","61","530","8","482","333","8,793"
"경기도","화성시","28,875","786","60","1,415","0","740","2,832","23,042"
"경기도","광주시","7,510","412","0","536","0","548","807","5,207"
"경기도","양주시","8,843","186","0","348","0","776","1,091","6,442"
"경기도","포천시","7,075","203","0","1,430","0","442","1,157","3,843"
"경기도","여주시","9,158","465","0","649","0","739","1,177","6,128"
"경기도","연천군","5,012","0","0","530","0","217","887","3,378"
"경기도","가평군","6,243","58","0","1,548","0","123","761","3,753"
"경기도","양평군","7,371","220","0","864","0","678","1,470","4,139"
"경기도","고양시일산동구","3,916","69","2","32","0","98","230","3,485"
"경기도","부천시","7,044","43","0","469","19","0","0","6,513"
"경기도","용인시처인구","8,476","422","0","852","0","852","923","5,427"
"경기도","용인시기흥구","5,255","166","3","106","0","217","222","4,541"
"경기도","용인시수지구","3,089","47","6","143","0","29","0","2,864"
"강원도","춘천시","8,514","195","0","1,095","0","552","387","6,285"
"강원도","원주시","20,254","362","0","800","0","514","715","17,863"
"강원도","강릉시","10,132","342","0","1,052","0","0","528","8,210"
"강원도","동해시","3,224","79","0","393","0","0","0","2,752"
"강원도","태백시","2,429","0","0","616","0","0","83","1,730"
