순번,교차로명,출발(from),도착(to),신호현시 방식,설치년월,신호기 설치방식,도로형태,주도로여부,신호등관리번호,신호등구분,신호등색종류,신호등화방식(99 기타),신호등화순서,신호등화시간,광원종류,신호제어방식,신호시간결정방식,점멸등운영여부
1,합강(너래교차로), 내부순환 ,내부순환, 직좌동시/오버랩 ,2016-11,현장제어,교차로,Y,교차로 기준관리,차량등,4,5,녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/황색/적색+녹색/녹색화살표/황색/적색,20+30+35+40+35,LED,지역연동,고정시간제어,N
2,은하수교차로, 내부순환 ,내부순환, 오버랩/좌회전 ,2012-01,현장제어,교차로,Y,교차로 기준관리,차량등,4,5,녹색/황색/적색+녹색/녹색화살표/황색/적색+녹색화살표/황색/적색+녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,38+18+55+20+29,LED,지역연동,고정시간제어,N
3,어진교차로, 내부순환 ,내부순환, 오버랩/직좌동시 ,2012-01,현장제어,교차로,Y,교차로 기준관리,차량등,4,5,녹색/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,18+20+47+47+28,LED,지역연동,고정시간제어,N
4,세종교차로, 내부순환 ,내부순환, 직좌동시 ,2014-06,현장제어,교차로,Y,교차로 기준관리,차량등,4,4,녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,45+35+35+45,LED,지역연동,고정시간제어,N
5,성금교차로, 내부순환 ,내부순환, 직좌동시/좌회전/양직 ,2012-01,현장제어,교차로,Y,교차로 기준관리,차량등,4,4,녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색화살표/황색/적색+녹색/황색/적색,45+45+25+45,LED,지역연동,고정시간제어,N
6,파란달교차로, 내부순환 ,내부순환, 오버랩 ,2012-01,현장제어,교차로,Y,교차로 기준관리,차량등,4,99,녹색/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,35+23+28+20+19+35,LED,지역연동,고정시간제어,N
7,새샘교차로, 내부순환 ,내부순환,양직/직좌동시/좌회전,2015-11,현장제어,교차로,Y,교차로 기준관리,차량등,4,4,녹색/황색/적색+녹색/녹색화살표/황색/적색+녹색화살표/황색/적색+녹색화살표/황색/적색,66+20+30+44,LED,지역연동,고정시간제어,N
8,가람교차로, 내부순환 ,내부순환,직좌동시,2012-07,현장제어,교차로,Y,교차로 기준관리,차량등,4,4,녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,52+52+28+28,LED,지역연동,고정시간제어,Y
9,첫마을교차로, 내부순환 ,내부순환,양직/좌회전/직좌동시,2012-07,현장제어,교차로,Y,교차로 기준관리,차량등,4,5,녹색/황색/적색+녹색화살표/황색/적색+녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,72+20+20+23+25,LED,지역연동,고정시간제어,N
10,청사교차로, 내부순환 ,내부순환,양직/좌회전/오버랩,2012-07,현장제어,교차로,Y,교차로 기준관리,차량등,4,5,녹색/황색/적색+녹색/녹색화살표/황색/적색+녹색/황색/적색+녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,46+20+31+23+20,LED,지역연동,고정시간제어,N
11,종합운동장교차로, 내부순환 ,내부순환,양직/직좌동시/좌회전,2012-07,현장제어,교차로,Y,교차로 기준관리,차량등,4,4,녹색/황색/적색+녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,68+30+32+32,LED,지역연동,고정시간제어,N
12,햇무리교 남단교차로, 내부순환 ,내부순환,양직/직좌동시/좌회전,2015-06,현장제어,교차로,Y,교차로 기준관리,차량등,4,99,녹색+녹색/황색/적색+녹색화살표/황색/적색+녹색화살표/황색/적색+녹색/녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,38+38+18+11+20+35,LED,지역연동,고정시간제어,N
13,나성5교 남측교차로, 내부순환 ,내부순환,양직/직좌동시/좌회전,2011-10,현장제어,교차로,Y,교차로 기준관리,차량등,4,5,녹색/황색/적색+녹색/녹색화살표/황색/적색+녹색화살표/황색/적색+녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,38+18+55+20+29,LED,지역연동,고정시간제어,N
14,미르교차로(보름교 동측), 내부순환 ,내부순환,양직/좌회전/직좌동시,2016-11,현장제어,교차로,Y,교차로 기준관리,차량등,4,4,녹색/황색/적색+녹색화살표/황색/적색+녹색화살표/황색/적색+녹색/녹색화살표/황색/적색,45+25+20+70,LED,지역연동,고정시간제어,N
